YEAR,IN019070100,IN019180500
1944,,47.2
1945,,45.6
1958,46.1,46.1
1973,49.0,
1974,44.0,44.0
1975,45.0,
1977,46.0,
1978,46.0,46.0
1979,48.0,47.0
1980,48.0,45.0
1981,47.0,
1982,45.5,
1983,44.6,44.2
1984,47.5,
1985,46.5,45.7
1986,47.8,
1987,46.6,
1988,46.4,
1989,46.6,46.1
1990,45.3,
1991,47.3,
1992,48.3,47.0
1993,47.9,45.4
1994,47.7,47.8
1995,47.0,46.8
1996,46.9,44.6
1997,43.5,43.5
1998,48.6,48.4
1999,45.5,45.0
2000,46.2,48.5
2001,47.0,45.7
2002,46.6,46.4
2003,45.9,44.6
2004,45.2,45.5
2005,45.2,44.1
2006,46.9,45.6
2007,45.8,44.3
2008,44.0,42.9
2009,47.9,44.8
2010,47.8,46.4
2011,48.1,47.8
2012,46.8,44.0
2013,47.2,45.1
2014,47.6,45.6
2015,46.2,44.8
2016,,48.8
2019,,46.4
2020,,44.7
2021,,42.5
